Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 12:46:38,2018-01-12 12:47:28,"49,247s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 12:46:39,2018-01-12 12:47:08,"28,964s",FAILED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 12:46:40,2018-01-12 12:46:52,"12,358s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 12:46:52,2018-01-12 12:46:54,"2,407s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 12:46:54,2018-01-12 12:47:01,"6,465s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 12:47:01,2018-01-12 12:47:01,"0,526s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 12:47:01,2018-01-12 12:47:04,"2,283s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 12:47:04,2018-01-12 12:47:04,"0,637s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 12:47:04,2018-01-12 12:47:07,"3,018s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 12:47:07,2018-01-12 12:47:08,"0,481s",FAILED
,,,,,,
Test Cases/Work/Vessel/3. FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-12 12:47:08,2018-01-12 12:47:27,"18,916s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-12 12:47:08,2018-01-12 12:47:08,"0,009s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:47:08,2018-01-12 12:47:27,"18,678s",FAILED
