Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserModule,Chrome 63.0.3239.108,,2018-01-03 14:32:35,2018-01-03 14:39:13,"6m - 38,240s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create user with empty name,Chrome 63.0.3239.108,,2018-01-03 14:32:35,2018-01-03 14:33:07,"31,747s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:32:36,2018-01-03 14:32:53,"17,336s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:32:53,2018-01-03 14:32:56,"3,003s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:32:56,2018-01-03 14:32:57,"0,256s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:32:57,2018-01-03 14:33:00,"3,004s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:33:00,2018-01-03 14:33:01,"1,431s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 14:33:01,2018-01-03 14:33:02,"0,418s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:33:02,2018-01-03 14:33:05,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F \u0431\u0435\u0437 \u0438\u043C\u0435\u043D\u0438,2018-01-03 14:33:05,2018-01-03 14:33:05,"0,220s",PASSED
click,Chrome 63.0.3239.108,\u041D\u0430\u0436\u0438\u043C\u0430\u0435\u043C \u043A\u043D\u043E\u043F\u043A\u0443 \u0414\u043E\u0431\u0430\u0432\u0438\u0442\u044C,2018-01-03 14:33:05,2018-01-03 14:33:06,"1,015s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u043E\u0448\u0438\u0431\u043A\u0438,2018-01-03 14:33:06,2018-01-03 14:33:06,"0,612s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:33:06,2018-01-03 14:33:07,"0,617s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create existing user,Chrome 63.0.3239.108,,2018-01-03 14:33:07,2018-01-03 14:33:36,"28,690s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:33:07,2018-01-03 14:33:23,"15,970s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:33:23,2018-01-03 14:33:26,"3,024s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:33:26,2018-01-03 14:33:27,"0,605s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:33:27,2018-01-03 14:33:30,"3,004s",PASSED
setText,Chrome 63.0.3239.108,\u0417\u0430\u0434\u0430\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:33:30,2018-01-03 14:33:31,"1,449s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:33:31,2018-01-03 14:33:32,"0,577s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:33:32,2018-01-03 14:33:35,"3,001s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u043E\u043A\u043D\u0430 \u043E\u0448\u0438\u0431\u043A\u0438,2018-01-03 14:33:35,2018-01-03 14:33:35,"0,045s",PASSED
closeBrowser,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 14:33:35,2018-01-03 14:33:36,"0,628s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create Valid User,Chrome 63.0.3239.108,,2018-01-03 14:33:36,2018-01-03 14:34:04,"27,894s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:33:36,2018-01-03 14:33:53,"16,152s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:33:53,2018-01-03 14:33:56,"3,004s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:33:56,2018-01-03 14:33:56,"0,500s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:33:56,2018-01-03 14:33:59,"3,002s",PASSED
setText,Chrome 63.0.3239.108,\u0417\u0430\u0434\u0430\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:33:59,2018-01-03 14:34:00,"0,619s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:34:00,2018-01-03 14:34:00,"0,313s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:00,2018-01-03 14:34:03,"3,004s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430 \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:34:03,2018-01-03 14:34:03,"0,005s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:03,2018-01-03 14:34:03,"0,001s",NOT_RUN
closeBrowser,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 14:34:03,2018-01-03 14:34:04,"0,654s",PASSED
,,,,,,
Test Cases/UsersModule/Edit/Delete name,Chrome 63.0.3239.108,,2018-01-03 14:34:04,2018-01-03 14:34:33,"28,754s",PASSED
